deployment_code,deployment_code,,deployment_code_yyyymmdd,,,,,,deployment_code
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_BCN_20160825_PASCAL_007,,SWFSC_BCN_20160825_PASCAL_007,PASCAL,007,PASCAL_007,,,SWFSC_BCN_20160825_PASCAL_007
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_CHI_20160826_PASCAL_008,,SWFSC_CHI_20160826_PASCAL_008,PASCAL,008,PASCAL_008,,,SWFSC_CHI_20160826_PASCAL_008
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20160827_PASCAL_009,,SWFSC_MBY_20160827_PASCAL_009,PASCAL,009,PASCAL_009,,,SWFSC_MBY_20160827_PASCAL_009
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MND_20160827_PASCAL_010,,SWFSC_MND_20160827_PASCAL_010,PASCAL,010,PASCAL_010,,,SWFSC_MND_20160827_PASCAL_010
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20160828_PASCAL_011,,SWFSC_ORE_20160828_PASCAL_011,PASCAL,011,PASCAL_011,,,SWFSC_ORE_20160828_PASCAL_011
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_COL_20160829_PASCAL_012,,SWFSC_COL_20160829_PASCAL_012,PASCAL,012,PASCAL_012,,,SWFSC_COL_20160829_PASCAL_012
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_COL_20160829_PASCAL_013,,SWFSC_COL_20160829_PASCAL_013,PASCAL,013,PASCAL_013,,,SWFSC_COL_20160829_PASCAL_013
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_ORE_20160831_PASCAL_015,,SWFSC_ORE_20160831_PASCAL_015,PASCAL,015,PASCAL_015,,,SWFSC_ORE_20160831_PASCAL_015
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_HUM_20160901_PASCAL_016,,SWFSC_HUM_20160901_PASCAL_016,PASCAL,016,PASCAL_016,,,SWFSC_HUM_20160901_PASCAL_016
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_PTA_20160902_PASCAL_017,,SWFSC_PTA_20160902_PASCAL_017,PASCAL,017,PASCAL_017,,,SWFSC_PTA_20160902_PASCAL_017
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MBY_20160903_PASCAL_018,,SWFSC_MBY_20160903_PASCAL_018,PASCAL,018,PASCAL_018,,,SWFSC_MBY_20160903_PASCAL_018
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_CHI_20160904_PASCAL_019,,SWFSC_CHI_20160904_PASCAL_019,PASCAL,019,PASCAL_019,,,SWFSC_CHI_20160904_PASCAL_019
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_CHI_20160906_PASCAL_020,,SWFSC_CHI_20160906_PASCAL_020,PASCAL,020,PASCAL_020,,,SWFSC_CHI_20160906_PASCAL_020
SWFSC_HUM_20210822_ADRIFT_001,SWFSC_MOB_20160904_PASCAL_021,,SWFSC_MOB_20160904_PASCAL_021,PASCAL,021,PASCAL_021,,,SWFSC_MOB_20160904_PASCAL_021
